,Expected Value,p,Beta0|Gamma|Beta
0,1.253454937730524,1,[1.31388394e-03 4.66313048e+00 8.51421460e-01]
0,1.253454937730524,1,[1.31388394e-03 4.66313048e+00 8.51421460e-01]
0,1.253454937730524,1,[1.31388394e-03 4.66313048e+00 8.51421460e-01]
0,2.73278423624194,1,[2.59794114 2.0926254  0.96498218]
0,2.528732854468345,1,[3.13144648 0.86726583 0.44629363]
0,2.528732854468345,1,[3.13144648 0.86726583 0.44629363]
0,2.528732854468345,1,[3.13144648 0.86726583 0.44629363]
0,2.528732854468345,1,[3.13144648 0.86726583 0.44629363]
0,2.528732854468345,1,[3.13144648 0.86726583 0.44629363]
0,2.528732854468345,1,[3.13144648 0.86726583 0.44629363]
0,2.528732854468345,1,[3.13144648 0.86726583 0.44629363]
0,2.528732854468345,1,[3.13144648 0.86726583 0.44629363]
0,2.528732854468345,1,[3.13144648 0.86726583 0.44629363]
0,2.528732854468345,1,[3.13144648 0.86726583 0.44629363]
0,2.528732854468345,1,[3.13144648 0.86726583 0.44629363]
0,2.528732854468345,1,[3.13144648 0.86726583 0.44629363]
0,1.8598891210932464,1,[0.6379751  1.06103767 3.11088524]
0,1.8598891210932464,1,[0.6379751  1.06103767 3.11088524]
0,1.8598891210932464,1,[0.6379751  1.06103767 3.11088524]
0,1.8598891210932464,1,[0.6379751  1.06103767 3.11088524]
0,1.8598891210932464,1,[0.6379751  1.06103767 3.11088524]
0,1.8598891210932464,1,[0.6379751  1.06103767 3.11088524]
0,1.8598891210932464,1,[0.6379751  1.06103767 3.11088524]
0,1.8598891210932464,1,[0.6379751  1.06103767 3.11088524]
0,1.8598891210932464,1,[0.6379751  1.06103767 3.11088524]
0,1.8598891210932464,1,[0.6379751  1.06103767 3.11088524]
0,1.8598891210932464,1,[0.6379751  1.06103767 3.11088524]
0,1.8598891210932464,1,[0.6379751  1.06103767 3.11088524]
0,1.8598891210932464,1,[0.6379751  1.06103767 3.11088524]
0,1.8598891210932464,1,[0.6379751  1.06103767 3.11088524]
0,1.8598891210932464,1,[0.6379751  1.06103767 3.11088524]
0,1.8598891210932464,1,[0.6379751  1.06103767 3.11088524]
0,1.8598891210932464,1,[0.6379751  1.06103767 3.11088524]
0,1.8598891210932464,1,[0.6379751  1.06103767 3.11088524]
0,1.8598891210932464,1,[0.6379751  1.06103767 3.11088524]
0,1.8598891210932464,1,[0.6379751  1.06103767 3.11088524]
0,1.8598891210932464,1,[0.6379751  1.06103767 3.11088524]
0,1.8363428099764127,1,[0.94627807 0.40822918 2.27748229]
0,1.8363428099764127,1,[0.94627807 0.40822918 2.27748229]
0,1.539735690388351,1,[0.91146048 0.41392849 2.30194197]
0,1.539735690388351,1,[0.91146048 0.41392849 2.30194197]
0,1.539735690388351,1,[0.91146048 0.41392849 2.30194197]
0,1.539735690388351,1,[0.91146048 0.41392849 2.30194197]
0,1.539735690388351,1,[0.91146048 0.41392849 2.30194197]
0,1.539735690388351,1,[0.91146048 0.41392849 2.30194197]
0,1.4252390878173726,1,[0.89408081 0.42777013 2.36703578]
0,1.4252390878173726,1,[0.89408081 0.42777013 2.36703578]
0,1.4252390878173726,1,[0.89408081 0.42777013 2.36703578]
0,1.4252390878173726,1,[0.89408081 0.42777013 2.36703578]
0,1.4252390878173726,1,[0.89408081 0.42777013 2.36703578]
0,1.4252390878173726,1,[0.89408081 0.42777013 2.36703578]
0,1.4252390878173726,1,[0.89408081 0.42777013 2.36703578]
0,1.4252390878173726,1,[0.89408081 0.42777013 2.36703578]
0,1.4252390878173726,1,[0.89408081 0.42777013 2.36703578]
0,1.4252390878173726,1,[0.89408081 0.42777013 2.36703578]
0,1.4252390878173726,1,[0.89408081 0.42777013 2.36703578]
0,1.4252390878173726,1,[0.89408081 0.42777013 2.36703578]
0,1.4252390878173726,1,[0.89408081 0.42777013 2.36703578]
0,1.4252390878173726,1,[0.89408081 0.42777013 2.36703578]
0,1.4252390878173726,1,[0.89408081 0.42777013 2.36703578]
0,1.4252390878173726,1,[0.89408081 0.42777013 2.36703578]
0,1.4252390878173726,1,[0.89408081 0.42777013 2.36703578]
0,1.4252390878173726,1,[0.89408081 0.42777013 2.36703578]
